"business_id","weekday","hour","checkins"
"r137FzG8WefldxGmxOOwvw","Wed","17:00","1"
"rxU6LyoSNK6Oc9IFhKFWHg","Fri","21:00","2"
"8fDLvW2Q6sPhsNawr4fplA","Mon","20:00","6"
"ydE2SjvSd9_NMoEBAE2PuA","Sun","04:00","6"
"oJZNHz5UUVUgrZwVBVlpYw","Mon","10:00","2"
"XNFA-aJFX8IQjol8Dg6GnA","Sun","05:00","8"
"lpD3xIYuVaQA8xRSlKwn-Q","Wed","02:00","2"
"XXxscMkHPEdsZtzjesk5zg","Tue","02:00","1"
"RA_Q__KAdk9rJqtAByUFjA","Sun","04:00","1"
"X9OEw1D6l5AOx9KsK8QQrw","Mon","18:00","1"
"DcF162waTQvZd-G0G_J4wQ","Sat","21:00","2"
"f6T2YaTfGoSyQV-l4jzrjw","Sun","22:00","2"
"CZF9Nm8CFY2R9ZhfwYIARQ","Wed","17:00","4"
"VHsNB3pdGVcRgs6C3jt6Zg","Sun","17:00","2"
"6yYLF5uu2mBs6xFEWOJO6w","Fri","13:00","1"
"zVdUoAuolWGPtwWsXgIQrQ","Tue","00:00","1"
"3G4oBmMbsljuOydzmUhOuA","Wed","04:00","1"
"J0X8w6E0EHZ0rL5D55pbHA","Sat","21:00","2"
"vNrp5fEvByt23IZwhUjzhQ","Thu","00:00","2"
"9tLCuUmw3Tlco-tKPGkIWQ","Thu","9:00","1"
"3JxKzWquEbPC3yPIfoCiLw","Fri","01:00","4"
"Qe9LBkscg4oxrNcx-ypdqg","Mon","03:00","1"
"DCH7rdGj1G4gM73S8IjLag","Wed","02:00","2"
"jFs8pmCWB6n0LWzddOwI1g","Thu","01:00","1"
"NtiBsNppXU0XS4zM89dphQ","Mon","02:00","1"
"CfW-088nFNuUF9O7363lwA","Thu","21:00","2"
"b9rKNoB1IPOk2Kjf1tmwSg","Sun","18:00","4"
"0BOdyChBbhGjQXRWZtDscQ","Sat","17:00","2"
"CwcDRtNgjgM4pLS4o63g6A","Wed","23:00","1"
"cncbC-WG4nUS41U642Nd2Q","Mon","17:00","1"
"8NHV3DBvq9Q88ZtzdR6W2w","Sat","21:00","8"
"9SS3ERbWcYDEzxfs9KxRbA","Tue","22:00","2"
"hzyvL2v97xLzLbLXcdi1uw","Sat","05:00","1"
"-UtYWvCnUppcSaC_u1pTYQ","Mon","13:00","1"
"wdSsmK_wJBQGzhHqzZYaVg","Tue","19:00","1"
"MJlRN0IdU9udm9vdG_eziw","Sun","19:00","1"
"yAfjWdRbd4oa9gxEskyjsQ","Mon","22:00","2"
"ocLr5R3t3jk5fu2ITqOnLw","Sat","16:00","4"
"4p6Wce7Ed707QS2-yQkvZw","Sat","01:00","31"
"NWwBrQBLYXwe-EU860rfAg","Sun","16:00","1"
"VxOsyWUIKsgafJmnfInbbg","Fri","15:00","3"
"98QwWiYS6VWGOsGIOFK2hg","Wed","01:00","1"
"sVdGXBgEv5DOlLuFop_rhQ","Sat","07:00","1"
"i4l_Qr_zIz6PgyDktkf5dA","Sat","18:00","2"
"Euvr3qBLpURUckaUncTx4w","Sun","04:00","1"
"dfRAK2mgdHbL2_YsFqtCdQ","Sat","04:00","10"
"XdVZQzLPHV9Zd2I8lWNf8g","Sat","22:00","2"
"MuZ2slZ6Yz3UE4n4nZ4e2g","Thu","20:00","1"
"PfSW2cTJyx2-q6T39sevow","Wed","03:00","8"
"5T7K68vTWY3LINXC73hwAg","Fri","22:00","2"
"gJttMZnv0Gy9OlLhNzPbQQ","Sun","13:00","4"
"4k3RlMAMd46DZ_JyZU0lMg","Sat","21:00","137"
"PUneCUDGvdgnay3uvI89fA","Sun","22:00","6"
"ufVmWNODfVTin1FUtq6uAg","Fri","05:00","2"
"hrR9eSqDMIvzYUsEiDx7zw","Fri","00:00","11"
"Gg-t3XhTl9MYsdULc1bUmw","Wed","06:00","1"
"xfX-U9Ukkb-7xr1EKXOUqg","Thu","22:00","2"
"Ehy00JWQixgoXzisVKhvag","Wed","01:00","22"
"Za690sqMnzlltUPYWmtBqQ","Fri","15:00","1"
"xedxfb3rfEmXDE0BczcCBA","Thu","20:00","8"
"rFISXBrHNGywTL0l-VxqPA","Fri","01:00","2"
"2auigv5pF08RjJ8CL1dIVw","Wed","21:00","10"
"HnxJNcdyiRFAWVcyx6B9qw","Mon","01:00","7"
"C8-Y-b6GA11afcixfC9Dwg","Wed","03:00","2"
"meTdk3S9xikwSRcb7Uk_Nw","Fri","05:00","3"
"6CcXCWwwnp_NYQm5ya3wAw","Mon","17:00","4"
"0QCmxnnuhv-imac5uDeVHw","Fri","23:00","1"
"psGLAB-Rx_zAQIIc1Axqkg","Mon","15:00","1"
"qkVPytomhxm5g0dMEH2xpQ","Wed","01:00","1"
"02lz2JfT86ysBJPxnipXnQ","Mon","16:00","4"
"cnXyideAGnrIjKjLjOZcHA","Thu","00:00","2"
"BZSzoBFhkXBUQTx4Cgl5Aw","Wed","08:00","2"
"ujgpePdD8Q-fP1mPFnw0Qw","Tue","16:00","17"
"NmTHKM9JuEN8au3P0587Sw","Thu","17:00","1"
"tNJkfAMdwznUX4l31cgq4Q","Wed","23:00","4"
"RDhuPRgzCp5FbxvTcXRp-w","Wed","20:00","1"
"mJqc71ZLSZcCBX3GN_ABEA","Mon","18:00","2"
"KyIZJsIr0HiM8OCv2WCcpQ","Mon","15:00","1"
"BrWEsRQm8GjzQmBUUpwBCA","Sat","17:00","3"
"cUwNW5NEua_yMcAx-X2sMg","Sat","19:00","7"
"TkEMlu88OZn9TKZyeY9CJg","Mon","02:00","39"
"l1_S1mfGbEMxfT1f9omhEA","Fri","20:00","1"
"POn9eMpMjLDLhS0vJ9JL2Q","Fri","18:00","3"
"z7NIceJU_4vSk-EJ8H6hQA","Sat","18:00","5"
"59TfbZxeX7qLOISeZ-f95A","Sun","00:00","1"
"SVEwhgNw54wySYMQoa94gA","Wed","21:00","2"
"VR1cbxGi6yzkrouTs7oEPA","Thu","20:00","1"
"cxlxJpw_vTzw7bXJq6Dbsg","Wed","17:00","1"
"XHidP878N9QMg5V-v7QrkQ","Fri","02:00","7"
"PEGtD36MLdfcsD2hc95Kiw","Wed","05:00","1"
"Dk1upHQ-NYVIkR5ky3sL7A","Wed","17:00","3"
"0QzCeORfF8EY34UODWRV9A","Mon","10:00","7"
"Dnq4w6ajMifZFFTIR5cGxw","Wed","17:00","1"
"zRN6HzfkPS1REtGiZ60Pvg","Wed","23:00","2"
"v3AS5LGeV2Si4nOHZ7lgxQ","Tue","04:00","3"
"qTmuW0C9XXuxWwumvn89sw","Thu","01:00","3"
"EpA8dWk84splkC9J7ebnHg","Mon","12:00","1"
"Qmgsx4ktDn81jNNxx9elpA","Wed","15:00","1"
"fqBnZxSkG287OOyU9LvTig","Sun","04:00","14"
"s5TJlFtdXcx_tXC4tlttlw","Tue","22:00","3"